14.2416	358.6225	0.4027	318.2924	276.6570	1.0027840
13.0454	006.5645	0.3831	324.3806	266.4033	1.0027088
13.9775	007.0624	0.3277	300.2519	055.0264	1.0027546
14.2922	011.9029	0.2548	352.7477	048.4928	1.0027248
14.0052	015.0165	0.5151	044.9209	156.9783	1.0027582
11.2410	016.1954	0.2067	332.7736	034.1589	1.0027510
13.9218	052.6107	0.2620	247.2567	314.8428	1.0027307
08.9233	043.0049	0.3849	275.1969	264.1391	1.0027158
14.5329	013.1242	0.1326	024.3094	197.2621	1.0027243
09.8876	021.6168	0.2715	333.3151	220.3147	1.0026900
11.1332	032.1643	0.8107	325.0003	215.1661	1.0027300
14.2194	005.7074	0.3023	018.2324	156.7002	1.0027756
11.3133	031.0336	0.1883	262.2207	123.2800	1.0027000
13.1404	021.0550	0.2466	323.6358	243.5912	1.0027023
05.8124	062.9959	0.5669	259.4334	088.6932	1.0027387
00.0940	293.4948	0.4786	016.7760	141.4610	1.0027326
09.1026	042.3664	0.5862	298.4142	256.3470	1.0027105
04.6186	072.7096	0.6642	264.8410	354.9450	1.0000309
03.6280	079.6811	0.3337	222.8960	243.9904	1.0027396
05.3337	066.9864	0.4785	257.7262	270.4374	1.0027265
06.1176	061.0829	0.5350	259.9508	274.5111	1.0027082
08.8515	043.7808	0.4070	306.7455	044.2148	1.0027137
13.5008	020.9184	0.1201	282.0622	301.5375	1.0026256
01.6099	091.5972	0.3453	225.3391	044.7731	1.0027151
05.4379	066.3112	0.1961	250.9910	092.7767	1.0027034
02.4932	086.7675	0.3215	233.4779	126.6022	1.0027117
05.7010	064.5025	0.4199	246.9358	146.9293	1.0027136
10.0640	036.9608	0.8630	286.2638	256.4740	1.0027484
04.3271	074.0006	0.4206	236.5848	083.7563	1.0027000
04.5290	070.9055	0.4772	239.7047	279.1416	1.0027434
08.5304	033.3252	0.4780	292.9292	261.8666	1.0027057
01.3106	094.6581	0.3044	214.4961	310.9194	1.0026735
04.3103	074.8589	0.2198	300.0596	122.7333	1.0013975
